Profit and Loss
Alley Cat
Date Range: 2025-01-01 to 2025-08-31
Report Type: Accrual (Paid & Unpaid)
""
ACCOUNT NUMBER,ACCOUNTS,"Jan 01, 2025 to Aug 31, 2025"
,Income,
,Bank Rejected Payment,"$23,395.56"
,Cancelled Transaction,"$54,940.40"
,Customers Deposits,"$7,889.67"
,Customers Payments,"$931,187.40"
,Dispute for fraud charges fraud,$61.02
,HCP - Customers Payments,"$5,404,566.25"
,Uncategorized Income,"$1,737.50"
,Wholesale Sales,"$550,172.27"
,Total Income,"$6,973,950.07"
""
,Cost of Goods Sold,
,Equipment Rental,"$8,842.08"
,Total Cost of Goods Sold,"$8,842.08"
""
,Gross Profit,"$6,965,107.99"
""
,Operating Expenses,
,Advertising & Promotion,"$461,131.12"
,Advertising Expenses,$381.90
,Bank Service Charges,"$1,658.45"
,Business Licenses & Permits,"$2,252.17"
,Business Purchases,"$188,417.63"
,China Material,"$125,913.61"
,Communications Tools,"$20,357.54"
,Computer - Security,$59.13
,Computer – Hardware,"$1,930.34"
,Computer – Hosting,"$33,714.19"
,Computer – Internet,$79.99
,Computer – Software,"$49,183.70"
,Customer Compensation,"$6,000.00"
,Customer Returned Check,"$3,865.50"
,Dues and Subscriptions	,"$3,047.50"
,Employee Check Rejected/Returned by The BANK,"-$1,133.57"
,"Employees Gift, Rewards, Presents","$1,865.07"
,Foreign Exchange,"$3,700.00"
,Fraud Charges,$38.00
,"Freight Technologies, Logistics  & Moving Companies","$26,669.03"
,Human Resources,"$287,386.61"
,Import Services,"$101,182.52"
,Insulation & Roofing Supply,"$482,362.32"
,Insurance,"$92,144.15"
,Insurance – Vehicles,"$11,287.00"
,Insurance – Worker's Compensation,"$152,113.03"
,Internet Services,"$1,854.18"
,Mailing & Shipping Expenses,"$13,600.06"
,Meals and Entertainment,"$3,698.93"
,Medical Expenses,"$1,877.50"
,Moving companies,"$2,938.59"
,Office Expenses,"$3,082.22"
,Office Supplies,$12.68
,Outside Services,"$879,645.22"
,Parking,$583.41
,Payroll - Garnishments,"$8,634.15"
,Payroll - Net Direct Deposit ,"$830,805.96"
,Payroll Employer Taxes,"$583,021.06"
,Payroll – Employee Benefits,"$14,874.75"
,Payroll – Salary & Wages,"$1,217,462.60"
,Pest Control Board,$520.00
,Pest Control Expenses,"$5,662.14"
,Pest Control Supplies,$720.00
,Professional Fees,"$24,082.11"
,Refund Customer Invoice,"$4,344.04"
,Refund for Business Purchases,$147.34
,Refund for Services,$306.98
,Reimbursement,"$31,992.28"
,Rent Expense,"$196,288.50"
,Repairs & Maintenance,"$2,243.14"
,Road Tolls,"$13,210.00"
,Sales Tax,"$51,338.00"
,Security,$957.18
,Small Tools & Equipment,"$2,481.47"
,Supplies,"$395,609.29"
,Taxes – Corporate Tax,"$61,075.00"
,Telephone – Wireless,"$12,431.74"
,Training & Education,"$8,914.54"
,Transportation Exp.,"$5,786.09"
,"Traveling, Meals & Entertainment","$24,923.02"
,Uncategorized Expense,"$6,626.80"
,Utilities,"$12,683.63"
,Vehicle - Cancelled Purchase,"-$1,000.00"
,Vehicle - Inspection,$380.96
,"Vehicle - Loans, Lease","$16,059.12"
,Vehicle - Rental,"$1,205.65"
,Vehicle Citation,"$2,216.95"
,Vehicle Registration,"$6,437.07"
,Vehicle – Fuel,"$111,312.69"
,Vehicle – Repairs & Maintenance,"$14,850.29"
,Waste & Recycle,$198.49
,cancelled order,"-$2,001.13"
,Loss on Foreign Exchange,$19.44
,Total Operating Expenses,"$6,629,721.06"
""
,Net Profit,"$335,386.93"
