Balance Sheet
Alley Cat
As of 2025-09-30
Report Type: Accrual (Paid & Unpaid)
,ACCOUNTS,"Sep 30, 2025"
,Assets,
,Total Cash and Bank,"$450,091.03"
,Total Other Current Assets,"$209,272.54"
,Total Long-term Assets,"$8,409.88"
,Total Assets,"$667,773.45"
,Liabilities,
,Total Current Liabilities,"-$784,079.56"
,Total Long-term Liabilities,$0.00
,Total Liabilities,"-$784,079.56"
,Equity,
,Total Other Equity,"-$13,927.77"
,Total Retained Earnings,"$1,465,780.78"
,Total Equity,"$1,451,853.01"
